description,category
It\'s a safe bet that smartphones will be much more advanced in key point0 years.,key point
She\'s been a computer programmer for ten years. At this point programming is second nature to her.,key point
We do not always see eye to eye but I respect her opinions and appreciate her honesty.,key point
It\'s best not to shoot down people\'s ideas during a brainstorming session. The goal is to generate ideas not to criticize them.,key point
With their commission structure the sky\'s the limit to what you can earn.,key point
We typically spend about key point5 minutes making small talk before we start our meetings.,key point
Once our largest competitor went out of business it was smooth sailing.,key point
We tried to change the dress code but Human Resources stood their ground.,key point
I just switched cable companies. They overcharged me for the first month\'s service. They really started off on the wrong foot.,key point
We have a brand new state-of-the-art facility.,key point
I was trying to learn Portuguese but I got frustrated and threw in the towel.,key point
Winning the election is going to be an uphill battle. He does not have much support at the moment.,key point
John is more experienced and well respected so he had the upper hand in the argument.,key point
There are mostly manufacturing positions here. There aren\'t many white-collar jobs.,key point
We were happy to get the contract and they were happy to get such a good price. It was a win-win situation.,key point
The company isn\'t looking to hire someone who is going to try to make a lot of changes. They\'re just looking for a yes man.,key point
I am positive that.,key point
I feel that..,key point
In my opinion.,key point
The way I see things..,key point
If you ask me. I tend to think that.,key point
Do you think that..,key point
Mrs / Ms / Mr X can we get your input ?,key point
How do you feel about.?,key point
What do you think of .?ÿ,key point
Do you have something you would like to add?,key point
That\'s interesting.,key point
I never thought about it that way beforeÿ,key point
I get your point.,key point
I see what you mean.,key point
Please could you.,key point
I had like you to.,key point
Would you mind.,key point
I wonder if you could.,key point
I am afraid I didn\'t quite catch that. Could you repeat what you just said,key point
I missed that. Could you say it again please?,key point
Could you run that past me again,key point
I do not quite follow you.,key point
What exactly do you mean,key point
Could you explain to me how that\'s going to work,key point
I can\'t see what you\'re getting at. Could we have some more details please,key point
Am I correct in thinking that ,key point
"Welcoming participants to a meeting",key point
It?s nice to see everyone.,key point
It?s great to see everybody.,key point
I?m glad you could all make it today.,key point
Thanks for being here today.,key point
Hello everybody.,key point
It?s good to see you all.,key point
Saying who can?t attend the meeting,key point
I have apologies from Tina and Bob.,key point
Dieter has sent his apologies.,key point
Peter can?t make it either.,key point
Unfortunately Tim wasn?t able to make it today.,key point
Ursula can?t be with us today.,key point
Ursula has sent her apologies.,key point
I?m the business development manager.,key point
I?ve been with Burotech GmbH since decision00decision.,key point
I?ve worked for the company for four years.,key point
I?m based in the Cologne office.,key point
I work at our Vienna branch.,key point
What do you think about that What do we all think Do you want to start us off Do you want to come in here Would you like to make a point here Does anyone want to say anything on that Would you like to comment on that,key point
Why donot you introduce yourself to everyone Tell us a bit about yourself.Could you tell us all who you are and say something aboutyourself?,key point
Pete  let\'s begin with the point of contention Would you explain what is it for the team\'s reference,key point
That covers the most important point of the agenda,key point
That resolves the point of contention,key point
That resolves the bone of contention,key point
To be concise...,key point
